Michigan State,,,,,,,,,,,,,,,,111,111,111,111,111,95,82,80,87,94,100,96,88,91,93
Tulsa,,,,,,,,,,,,,,,,111,111,111,111,111,109,99,86,72,82,86,82,101,87,111
St. Louis,,,,,,,,,,,,,,,,83,87,96,94,111,104,101,102,93,87,82,88,88,90,90
U Hawaii,,,,,,,,,,,,,,,,94,91,82,111,72,95,106,80,100,82,92,100,101,91,96
U Louisville,,,,,,,,,,,,,,,,111,97,100,98,111,100,89,68,87,94,92,92,113,108,99
South Carolina,,,,,,,,,,,,,,,,98,91,95,87,111,104,109,98,93,93,92,88,88,91,96
Syracuse,,,,,,,,,,,,,,,,111,111,100,111,86,100,96,96,107,87,86,92,88,91,111
Buffalo-SUNY,,,,,,,,,,,,,,,,83,77,100,85,111,84,82,86,100,87,100,106,106,104,99
Florida International,,,,,,,,,,,,,,,,111,111,111,111,111,111,113,105,45,102,103,100,101,91,90
Indiana – Indianapolis,,,,,,,,,,,,,,,,78,85,68,87,86,79,89,98,87,102,100,88,98,108,122
West Virginia,,,,,,,,,,,,,,,,111,111,111,111,93,95,101,91,83,94,97,96,106,100,111
Marquette,,,,,,,,,,,,,,,,111,97,95,87,111,95,96,94,93,105,123,100,95,91,102
Catholic,,,,,,,,,,,,,,,,111,97,88,94,98,79,82,80,107,108,103,106,110,108,111
Wayne State,,,,,,,,,,,,,,,,111,111,111,111,111,121,110,105,87,105,97,100,98,91,83
U. New Hampshire,,,,,,,,,,,,,,,,111,111,111,111,111,143,142,119,93,87,82,100,85,87,87
Santa Clara,,,,,,,,,,,,,,,,89,91,77,85,93,84,96,96,107,94,129,132,113,104,113
Seattle,,,,,,,,,,,,,,,,94,85,83,77,86,84,82,102,87,113,111,120,128,122,129
